work_year,salary,remote_ratio,experience_level,employment_type,job_title,employee_residence,company_location,company_size,prediction
2023,145000,0,SE,FT,Data Engineer,US,US,M,145000.0
2022,155000,100,SE,FT,Data Scientist,US,US,M,155000.0
2023,153600,0,SE,FT,Data Analyst,US,US,M,153600.0
2023,220000,0,SE,FT,Machine Learning Scientist,US,US,M,220000.0
2022,154000,100,SE,FT,Data Engineer,US,US,M,154000.0
2022,100000,100,SE,FT,Analytics Engineer,US,US,M,100000.0
2022,128000,0,SE,FT,Data Architect,US,US,M,127980.75
2022,120000,0,SE,FT,Data Scientist,US,US,M,120000.0
2023,154000,0,MI,FT,Data Engineer,US,US,M,154000.0
2023,129300,0,SE,FT,Data Scientist,US,US,M,129300.0
2023,125000,0,SE,FT,Data Analyst,US,US,M,125000.0
2023,153600,100,SE,FT,Data Engineer,US,US,M,153600.0
2023,150000,0,EN,FT,Deep Learning Engineer,US,US,M,150000.0
2023,116990,100,MI,FT,Data Scientist,US,US,M,117013.08
2023,130000,0,MI,FT,Data Engineer,US,US,M,130000.0
2023,185000,0,SE,FT,Data Engineer,US,US,M,185000.0
2023,120250,0,SE,FT,Data Scientist,GB,GB,M,124519.66
2022,145000,0,MI,FT,Data Scientist,US,US,M,145000.0
2023,252000,0,SE,FT,Data Engineer,US,US,M,252000.0
2022,150000,0,SE,FT,Data Engineer,US,US,M,150000.0
2023,156400,0,SE,FT,Data Scientist,US,US,M,156396.0
2023,104000,100,SE,FT,Data Scientist,US,US,M,104000.0
2023,90000,0,MI,FT,Data Scientist,IE,IE,M,95094.35
2022,130000,100,MI,FT,Machine Learning Researcher,US,US,M,129504.72
2022,160000,0,SE,FT,Data Scientist,US,US,L,160000.0
2023,180180,0,SE,FT,Data Analyst,US,US,M,180178.2
2023,42000,0,MI,FT,Data Scientist,GB,GB,M,51384.73
2023,90000,100,SE,FT,Data Engineer,US,US,M,90000.0
2023,226700,0,SE,FT,Data Engineer,US,US,M,226608.0
2023,276000,0,SE,FT,Machine Learning Engineer,US,US,M,275860.0
2021,24000,50,MI,FT,Data Engineer,MT,MT,L,27276.12
2022,120000,100,MI,FT,Data Scientist,US,US,M,120000.0
2022,152500,0,SE,FT,Data Engineer,US,US,M,152503.7
2022,182750,100,SE,FT,Data Scientist,US,US,M,182747.0
2023,139500,0,SE,FT,Data Engineer,US,US,M,139501.0
2022,136600,100,SE,FT,Data Analyst,US,US,M,136651.96
2022,65000,0,SE,FT,Data Engineer,ES,ES,M,68126.04
2021,87000,100,SE,FT,Head of Data,SI,SI,L,96601.31
2023,150000,0,MI,FT,Data Analyst,US,US,M,150000.0
2023,160000,100,SE,FT,Data Engineer,US,US,M,160000.0
2023,213120,100,SE,FT,Data Architect,US,US,M,213014.8
2023,120000,0,SE,FT,Data Scientist,US,US,M,120000.0
2020,48000,100,EN,FT,Data Engineer,PK,DE,L,52537.17
2023,160000,100,SE,FT,Data Engineer,US,US,M,160000.0
2022,144000,0,SE,FT,Data Scientist,US,US,M,143998.6
2022,154545,0,SE,FT,Data Engineer,US,US,L,154566.25
2023,185900,0,SE,FT,Data Engineer,US,US,M,185900.0
2023,210000,0,SE,FT,Computer Vision Engineer,US,US,M,210000.0
2023,245000,100,SE,FT,Data Scientist,US,US,M,244942.21
2023,123900,100,SE,FT,Data Scientist,US,US,M,123969.14
2022,84900,100,SE,FT,Data Analyst,US,US,M,84945.0
2022,52000,0,EN,FT,Data Analyst,CA,CA,M,52967.27
2022,209100,100,SE,FT,Data Engineer,US,US,L,209085.74
2022,120000,100,EN,FT,Data Engineer,US,US,M,120000.0
2022,142200,0,SE,FT,Machine Learning Engineer,US,US,M,142200.0
2023,153400,0,SE,FT,Machine Learning Engineer,US,US,M,153406.0
2023,161000,0,SE,FT,Machine Learning Engineer,GB,GB,M,177225.69
2023,140000,100,MI,FT,Data Engineer,US,US,M,140000.0
2022,236900,100,SE,FT,Data Scientist,US,US,L,236899.0
2022,24000,0,MI,FT,Data Engineer,US,US,M,24133.65
2022,175000,100,SE,FT,Data Engineer,US,US,M,175000.0
2022,73000,0,EN,FT,Data Scientist,US,US,M,73202.82
2023,162500,100,SE,FT,Data Engineer,US,US,M,162490.0
2023,160000,0,EN,FT,Research Engineer,US,US,M,160000.0
2022,95000,0,SE,FT,Data Engineer,US,US,M,95000.0
2023,151800,0,SE,FT,Research Scientist,US,US,M,151813.0
2022,130240,0,SE,FT,Data Scientist,US,US,M,130161.88
2023,275300,100,SE,FT,Data Scientist,US,US,M,275300.0
2022,56000,100,MI,FT,Computer Vision Engineer,FR,FR,S,59078.9
2023,42000,0,MI,FT,Data Scientist,GB,GB,M,51384.73
2022,135000,100,SE,FT,Data Analyst,US,US,M,135000.0
2022,149040,100,SE,FT,Data Architect,US,US,M,149035.0
2023,225000,100,SE,FT,Machine Learning Scientist,US,US,M,225000.0
2022,40000,100,MI,FT,Data Analyst,GB,GB,M,49274.91
2023,180000,0,SE,FT,Data Analyst,US,US,M,180003.4
2022,184000,100,SE,FT,Applied Scientist,US,US,M,184000.0
2023,196200,0,EX,FT,Data Engineer,US,US,M,196116.0
2022,42000,100,MI,FT,Data Engineer,BR,BR,M,41933.07
2022,110000,100,MI,FT,Data Scientist,US,US,L,110000.0
2022,139600,0,SE,FT,Data Analyst,US,US,M,139571.0
2023,129300,0,SE,FT,Data Engineer,US,US,M,129300.0
2022,130000,0,SE,FT,Data Engineer,US,US,M,130000.0
2022,136000,100,MI,FT,Data Analyst,US,US,M,136006.0
2022,120160,100,SE,FT,Data Scientist,US,US,M,120220.6
2022,142200,0,SE,FT,Machine Learning Engineer,US,US,M,142200.0
2022,29000,100,EN,CT,Applied Machine Learning Scientist,TN,CZ,M,30569.03
2023,123700,0,SE,FT,Data Engineer,US,US,L,123694.0
2022,166700,0,SE,FT,Data Analyst,US,US,M,166816.0
2022,140000,100,SE,FT,Data Scientist,US,US,M,140000.0
2022,210000,100,SE,FT,Data Scientist,US,US,M,210000.0
2023,150000,100,MI,FT,Data Scientist,US,US,M,150000.0
2022,110000,100,SE,FT,Analytics Engineer,US,US,M,110000.0
2022,120000,0,SE,FT,Data Engineer,US,US,M,120000.0
2022,141525,100,SE,FT,Data Scientist,US,US,M,141525.0
2022,129300,0,SE,FT,Data Scientist,US,US,M,129300.0
2022,191475,100,SE,FT,Data Scientist,US,US,M,191475.0
2022,93700,100,SE,FT,Data Engineer,US,US,M,93709.68
2023,67000,100,SE,FT,BI Data Analyst,DE,DE,M,67844.4
2022,220000,100,SE,FT,Data Scientist,US,US,M,219990.0
2022,240000,0,SE,FT,Data Engineer,US,US,M,240000.0
2023,74540,0,EN,FT,Data Scientist,US,US,M,74556.71
2023,126000,0,SE,FT,Data Engineer,US,US,M,126000.0
2022,205300,0,SE,FT,Analytics Engineer,US,US,M,205270.0
2023,85000,0,SE,FT,Data Analyst,US,US,M,85005.0
2021,90000,100,SE,FT,Data Analyst,CA,CA,M,80127.99
2023,95000,100,SE,FT,Data Analyst,US,US,M,95000.0
2022,119300,0,SE,FT,Data Scientist,US,US,L,119298.0
2022,135000,100,SE,FT,Data Architect,US,US,M,135000.0
2022,130000,0,MI,FT,Data Scientist,US,US,M,130000.0
2020,70000,50,EX,FT,Data Engineer,ES,ES,L,77579.16
2023,106000,0,SE,FT,BI Developer,US,US,M,106003.0
2023,185900,0,SE,FT,Data Analyst,US,US,M,185900.0
2023,120000,0,SE,FT,Analytics Engineer,US,US,M,120000.0
2022,198800,0,SE,FT,Data Engineer,US,US,M,198805.1
2022,125000,100,SE,FT,Manager Data Management,US,US,L,125000.0
2022,63000,100,SE,FT,ETL Developer,US,US,M,63000.0
2022,54000,0,MI,FT,Analytics Engineer,US,US,M,54382.92
2023,203000,0,SE,FT,Research Engineer,US,US,M,202954.18
2022,90000,0,MI,FT,Data Scientist,US,US,M,90000.0
2022,180000,100,EN,FT,Data Scientist,US,US,M,180000.0
2023,1400000,100,EN,FT,Data Engineer,IN,IN,L,17407.56
2022,150075,100,SE,FT,Data Analyst,US,US,M,150063.75
2023,150450,100,MI,FT,Machine Learning Engineer,US,US,M,150346.8
2023,145000,0,SE,FT,Data Analyst,US,US,M,145000.0
2022,92250,0,SE,FT,Data Operations Analyst,US,US,M,92360.68
2023,231500,100,SE,FT,Data Engineer,US,US,M,231417.5
2023,131899,0,EX,FT,Head of Data Science,GB,GB,M,150850.84
2023,90000,0,MI,FT,Data Analyst,US,US,M,90000.0
2022,105700,0,SE,FT,Data Engineer,US,US,L,105691.0
2020,8000,50,MI,FT,Data Analyst,PK,PK,L,8053.9
2023,100000,0,MI,FT,Data Analyst,US,US,M,100000.0
2021,174000,100,SE,FT,Data Science Manager,US,US,L,174010.0
2022,55000,100,MI,FT,Data Engineer,GB,GB,M,67723.59
2023,126000,0,SE,FT,Data Engineer,US,US,M,126000.0
2023,180000,100,MI,FT,Machine Learning Engineer,US,US,M,180000.0
2022,216000,100,SE,FT,Data Engineer,US,US,M,216025.0
2021,200000,100,SE,FT,Machine Learning Engineer,US,US,L,200000.0
2023,297300,100,SE,FT,Data Science Manager,US,US,M,297598.0
2020,103000,100,MI,FT,Data Science Consultant,US,US,L,102948.6
2023,185000,100,SE,FT,Data Scientist,US,US,M,185000.0
2021,7000000,50,SE,FT,Data Science Manager,IN,IN,L,82178.28
2023,150000,0,MI,FT,Machine Learning Engineer,US,US,M,150000.0
2020,250000,50,EN,FT,Machine Learning Engineer,US,US,L,250000.0
2022,156600,100,SE,FT,Data Scientist,US,US,M,156551.36
2023,140000,0,SE,FT,Data Engineer,US,US,M,140000.0
2022,204100,0,SE,FT,Data Scientist,US,US,M,204239.2
2023,130000,100,SE,FT,Data Engineer,US,US,M,130000.0
2022,164996,0,SE,FT,Machine Learning Engineer,US,US,M,164986.2
2023,150000,100,SE,FT,Machine Learning Engineer,US,US,M,150000.0
2022,161342,100,SE,FT,Data Science Manager,US,US,M,161326.04
2023,140000,0,MI,FT,Data Analytics Manager,US,US,M,140000.0
2023,139000,0,SE,FT,Research Engineer,US,US,M,138990.9
2023,190000,0,SE,FT,Data Scientist,US,US,M,190000.0
2022,185900,0,SE,FT,Data Engineer,US,US,M,185900.0
2023,207000,0,SE,FT,Analytics Engineer,US,US,M,206928.13
2022,120000,0,SE,FT,Analytics Engineer,US,US,M,120000.0
2022,50000,0,MI,FT,Data Analyst,GB,GB,M,61415.89
2022,160000,0,MI,FT,Data Analyst,US,US,M,160000.0
2022,100000,0,SE,FT,Data Engineer,US,US,M,100000.0
2023,235000,100,SE,FT,Data Scientist,US,US,M,235020.0
2023,200000,100,MI,FT,AI Developer,US,US,M,200438.54
2022,104000,100,SE,FT,Data Analyst,US,US,M,103954.0
2023,167500,0,SE,FT,Data Engineer,US,US,M,167502.6
2022,50000,100,EN,FT,Business Data Analyst,IN,AS,L,47330.1
2023,95000,0,MI,FT,Data Engineer,US,US,M,95000.0
2022,191475,100,SE,FT,Data Scientist,US,US,M,191475.0
2022,50000,100,MI,FT,Data Analyst,US,US,M,50267.21
2023,120000,100,SE,FT,Data Analyst,US,US,M,120000.0
2023,154000,0,MI,FT,Data Analyst,US,US,M,154000.0
2023,106000,0,SE,FT,Data Analyst,US,US,M,106004.0
2023,172000,0,SE,FT,Data Scientist,US,US,M,172030.0
2023,239000,0,SE,FT,Data Scientist,US,US,L,238896.44
2022,50000,50,EN,FT,Data Scientist,US,DE,M,50153.06
2022,247500,0,SE,FT,Data Scientist,US,US,M,247500.0
2022,205000,0,SE,FT,Data Scientist,US,US,M,205003.0
2023,52500,0,SE,FT,Data Analyst,US,US,M,52484.24
2022,54000,100,EN,FT,Machine Learning Engineer,CH,CH,S,56427.91
2022,122500,100,SE,FT,Analytics Engineer,US,US,M,122524.0
2022,8000,100,SE,FT,Product Data Scientist,IN,SG,L,8040.2
2023,185000,0,SE,FT,Computer Vision Engineer,US,US,M,181872.18
2023,140000,0,SE,FT,Analytics Engineer,US,US,M,140000.0
2023,156400,100,SE,FT,Data Scientist,US,US,M,156402.0
2023,297300,100,SE,FT,Data Scientist,US,US,M,297302.0
2022,180000,100,SE,FT,Data Scientist,US,US,M,180000.0
2022,115934,100,SE,FT,Data Analyst,US,US,M,115934.0
2023,202000,100,SE,FT,Data Engineer,US,US,M,202011.24
2023,204500,0,SE,FT,Machine Learning Engineer,US,US,M,204500.0
2023,183600,0,SE,FT,Data Engineer,US,US,M,183565.1
2023,138784,100,SE,FT,Data Scientist,US,US,M,138767.78
2022,231250,100,SE,FT,Data Engineer,US,US,M,231252.5
2022,168000,100,EN,FT,Data Scientist,US,US,M,168007.6
2022,117000,100,SE,FT,Data Analyst,US,US,M,117012.48
2023,174000,0,SE,FT,Research Engineer,DE,DE,M,174025.0
2022,136994,100,SE,FT,Data Scientist,US,US,M,136648.58
2022,250000,0,SE,FT,Data Architect,US,US,M,250090.0
2021,22000,0,MI,FT,Data Engineer,RO,US,L,25685.84
2023,145000,0,EX,FT,Data Scientist,US,US,M,145000.0
2023,208450,100,SE,FT,Data Analyst,US,US,M,208511.11
2022,99000,0,SE,FT,Data Analyst,US,US,M,99005.0
2023,146000,0,MI,FT,Data Engineer,US,US,M,145998.0
2023,140000,0,SE,FT,Data Engineer,US,US,M,140000.0
2023,175000,100,SE,FT,Data Scientist,US,US,M,175000.0
2023,180000,100,SE,FT,Data Architect,US,US,M,180000.0
2022,27000,50,EN,FT,Data Scientist,GB,GB,L,32452.66
2023,80000,0,SE,FT,Data Analyst,US,US,M,80000.0
2021,225000,100,EN,FT,Machine Learning Scientist,US,US,L,225000.0
2023,144000,100,SE,FT,Data Engineer,US,US,M,143991.6
2023,149600,0,MI,FT,Data Engineer,US,US,M,149632.0
2023,179820,0,SE,FT,Analytics Engineer,US,US,M,179832.35
2022,90320,100,SE,FT,Data Analyst,US,US,M,90313.6
2022,155000,0,SE,FT,Data Engineer,US,US,M,154992.0
2023,167580,0,SE,FT,Data Engineer,US,US,M,167565.8
2022,113000,0,MI,FT,Data Analyst,US,US,L,112992.0
2022,120000,100,SE,FT,Data Scientist,US,US,M,120000.0
2022,185000,100,SE,FT,Data Scientist,US,US,M,185000.0
2022,58000,0,MI,FT,Data Scientist,DE,DE,M,61440.74
2021,21000,50,MI,FT,Machine Learning Engineer,SI,SI,L,24719.77
2020,138000,100,EN,FT,Machine Learning Engineer,US,US,S,137983.61
2023,59000,50,SE,FT,Data Scientist,CY,EE,L,63579.52
2022,191475,100,SE,FT,Data Scientist,US,US,M,191475.0
2020,87000,100,MI,FT,Lead Data Analyst,US,US,L,87020.37
2022,80000,0,SE,FT,Data Scientist,GB,GB,M,98373.8
2023,200000,0,SE,FT,Research Scientist,US,US,M,200000.0
2021,130000,100,SE,FT,Data Scientist,CA,CA,L,114434.26
2023,110000,100,SE,FT,BI Developer,US,US,M,110000.0
2022,191475,100,SE,FT,Applied Scientist,US,US,M,191458.8
2021,65000,100,EN,FT,Data Science Consultant,DE,DE,S,75226.09
2023,201000,0,SE,FT,Data Scientist,US,US,M,201001.44
2022,35000,0,SE,FT,Data Analyst,ES,ES,M,36960.15
2023,160000,0,SE,FT,Data Scientist,US,US,M,160000.0
2023,70000,0,SE,FT,Data Analyst,US,US,M,70000.0
2023,138000,100,SE,FT,Data Analyst,US,US,M,138034.82
2022,119000,0,SE,FT,Data Analyst,US,US,M,119012.0
2022,120000,0,MI,FT,Data Engineer,US,US,M,120000.0
2022,250000,0,SE,FT,Data Engineer,US,US,M,250000.0
2022,141525,100,SE,FT,Data Scientist,US,US,M,141525.0
2022,132320,100,SE,FT,Data Engineer,US,US,M,132310.4
2022,230000,0,SE,FT,Data Engineer,US,US,L,229999.72
2023,205000,100,SE,FT,Applied Scientist,US,US,M,205000.0
2022,191200,0,SE,FT,Data Engineer,US,US,M,191205.5
2023,185900,0,SE,FT,Data Scientist,US,US,M,185900.0
2023,129300,0,SE,FT,Data Scientist,US,US,M,129300.0
2023,198200,100,SE,FT,Data Scientist,US,US,M,198200.0
2023,199000,100,SE,FT,Machine Learning Engineer,US,US,M,198966.8
2022,1125000,100,MI,FT,Data Analyst,IN,IN,L,14083.12
2022,45000,0,SE,FT,Data Scientist,ES,ES,M,47290.09
2022,90000,0,MI,FT,Data Scientist,GB,GB,M,109689.28
2022,130000,100,SE,FT,Data Analyst,CA,CA,M,127695.88
2023,160000,0,SE,FT,Data Engineer,US,US,M,160000.0
2023,110000,0,SE,FT,Data Engineer,US,US,M,110000.0
2022,159000,100,MI,FT,Data Science Manager,US,US,M,158900.55
2021,220000,0,SE,FT,Principal Data Scientist,US,US,L,220022.0
2023,183310,0,MI,FT,Data Scientist,US,US,M,183339.6
2022,110000,100,SE,FT,Data Scientist,US,US,M,110000.0
2023,74178,0,SE,FT,Data Analyst,US,US,M,74140.74
2022,196000,100,SE,FT,Research Scientist,US,US,M,195972.0
2023,136000,0,SE,FT,Applied Scientist,US,US,L,136000.0
2022,100000,100,MI,FL,Data Scientist,CA,US,M,99051.76
2023,122000,100,SE,FT,Data Analyst,US,US,M,121995.2
2023,160000,100,SE,FT,Data Engineer,US,US,M,160000.0
2022,57000,100,EN,FT,Data Engineer,NL,NL,L,59776.09
2022,155000,100,SE,FT,Data Scientist,US,US,M,155000.0
2023,93918,100,MI,FT,Data Scientist,US,US,M,93425.32
2022,60000,50,SE,FT,Machine Learning Engineer,FI,FI,S,62830.9
2022,138750,100,SE,FT,Analytics Engineer,US,US,M,138748.5
2023,120000,100,SE,FT,Data Analytics Manager,US,US,M,120000.0
2022,200000,100,EX,FT,Data Engineer,US,US,M,200000.0
2021,75000,100,SE,FT,Marketing Data Analyst,GR,DK,L,85758.76
2022,190000,100,SE,FT,Analytics Engineer,US,US,M,190000.0
2023,75000,0,SE,FT,Data Engineer,US,US,M,75000.0
2023,239748,0,SE,FT,Data Scientist,US,US,M,239826.12
2022,99000,0,SE,FT,Data Analyst,US,US,M,99005.0
2022,35000,0,MI,FT,Data Analyst,GB,GB,M,43024.31
2022,146200,100,SE,FT,ETL Developer,US,US,M,146206.0
2023,148700,0,SE,FT,Data Analyst,US,US,M,148717.9
2023,145000,100,SE,FT,Data Scientist,US,US,M,145000.0
2023,100500,0,SE,FT,Data Analyst,US,US,M,100420.0
2023,150000,0,SE,FT,Data Engineer,US,US,M,150000.0
2023,50000,0,MI,FT,Data Science Lead,GB,GB,M,60889.8
2023,195000,0,SE,FT,Data Scientist,US,US,M,195024.0
2022,141525,100,SE,FT,Data Scientist,US,US,M,141525.0
2022,203500,0,SE,FT,Data Scientist,US,US,M,203463.0
2022,193750,100,SE,FT,Analytics Engineer,US,US,M,193775.5
2023,145000,100,SE,FT,Data Scientist,US,US,M,145000.0
2023,84000,100,SE,FT,Data Scientist,US,US,M,84022.86
2022,450000,100,MI,FT,Data Analyst,IN,IN,S,5914.7
2023,247500,0,SE,FT,Machine Learning Engineer,US,US,M,247512.0
2022,117000,0,SE,FT,Data Engineer,US,US,M,117011.98
2023,12000,0,EN,FT,Data Engineer,VN,VN,L,12199.24
2022,119000,100,SE,FT,Data Analyst,US,US,M,118956.0
2022,160000,100,MI,FT,Data Engineer,US,US,M,160000.0
2022,224000,100,EX,FT,Head of Data Science,US,US,M,223924.4
2022,148800,0,SE,FT,Data Scientist,US,US,M,148787.9
2022,144000,100,SE,FT,Data Engineer,US,US,M,144000.0
2023,139500,0,SE,FT,Machine Learning Engineer,US,US,M,139500.0
2023,130000,100,SE,FT,Data Analyst,US,US,M,130000.0
